,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
99,603977.SH,20240221,9.4,9.68,9.38,9.46,9.5,-0.04,-0.4211,107388.0,102303.809
100,002458.SZ,20240221,10.18,10.37,10.05,10.18,10.21,-0.03,-0.2938,168265.56,171904.761
101,603378.SH,20240221,5.77,6.4,5.71,6.4,5.82,0.58,9.9656,69634.46,42458.918
102,600186.SH,20240221,4.2,4.55,4.15,4.28,4.28,0.0,0.0,1292879.03,564109.736
103,603191.SH,20240221,13.49,14.0,13.41,13.55,13.62,-0.07,-0.514,48877.49,67345.652
104,600072.SH,20240221,16.0,16.8,15.88,16.23,16.1,0.13,0.8075,264878.49,434172.534
105,603312.SH,20240221,27.17,28.88,26.92,27.8,27.61,0.19,0.6882,71073.63,199248.681
106,000566.SZ,20240221,3.49,3.64,3.48,3.53,3.52,0.01,0.2841,146972.04,52334.692
107,600115.SH,20240221,3.77,3.9,3.74,3.86,3.78,0.08,2.1164,884642.85,339650.557
108,603628.SH,20240221,16.38,18.28,16.11,17.26,16.83,0.43,2.555,562977.71,964800.155
